CW00053	MTR_PreAlign_Mode(0:Origin / 1: New)	H50.77
DB000090		H30.20,H30.50,H50.40,H50.42,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H60.50,H80.12,H80.14,H99.01,H99.02
DB000091		H30.50,H50.40,H50.42
DB000092		H30.50,H50.40,H50.42
DB000093		H50.42
DB000094		H30.50,H50.42
DB000095		H30.50,H50.42
DB000096		H30.50,H50.42
DB000097		H30.50,H50.42
DB000098		H30.50,H50.42
DB000099		H30.50,H50.42
DB00009A		H50.42
DB00009B		H50.42
DB00009C		H30.50,H50.42
DB00009D		H50.42
DB00009E		H50.42
DB00009F		H50.42
DB000100		H-Scan Main,H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H20.02,H20.30,H30.23,H40.30,H40.31,H40.50,H40.60,H50.10,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H60.20,H60.35,H60.36,H60.37,H60.38,H60.39,H70.29,H80.10,H80.11,H80.15,H80.19,H90.80
DB000101		H-Scan Main,H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H20.30,H30.20,H40.30,H50.10,H60.35,H60.36,H60.37,H60.38,H60.39,H70.29,H80.10,H80.11,H80.15,H80.19
DB000102		H-Scan Main,H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.11,H80.12,H80.15,H80.19,H80.60
DB000103		H-Scan Main,H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.11,H80.12,H80.15,H80.19,H80.60
DB000104		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.11,H80.12,H80.15,H80.17,H80.19
DB000105		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.15,H80.17,H80.19
DB000106		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.15,H80.17,H80.19
DB000107		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10,H80.15,H80.17,H80.19
DB000108		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H30.23,H80.15,H80.17
DB000109		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB00010A		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB00010B		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H80.10
DB00010C		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB00010D		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB00010E		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB00010F		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT)
DB000110		H10.11_Sensor In_Unit1(SP),H10.11_Sensor In_Unit2(SC),H10.11_Sensor In_Unit3(BKPB),H10.11_Sensor In_Unit4(BKT),H10.11_Sensor In_Unit5(SP),H10.11_Sensor In_Unit6(MBT),H10.11_Sensor In_Unit7(MTR),H10.11_Sensor In_Unit8(STR_1),H10.19_Sensor In_Unit9(SBT),H20.30,H30.20,H50.40,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H80.10,H80.11,H80.15,H80.19
